state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,arrival
Maharashtra,Nashik,Nashik,Tomato,Demo,FAQ,2025-08-31,2316.98,2606.73,2440.87,102.1
Maharashtra,Pune,Pune,Tomato,Demo,FAQ,2025-08-31,2577.75,2844.73,2667.17,89.7
Maharashtra,Nagpur,Nagpur,Tomato,Demo,FAQ,2025-08-31,2161.04,2412.46,2319.64,145.1
Maharashtra,Nashik,Nashik,Onion,Demo,FAQ,2025-08-31,1884.86,2174.61,2001.94,87.8
Maharashtra,Pune,Pune,Onion,Demo,FAQ,2025-08-31,2099.95,2386.57,2262.23,145.1
Maharashtra,Nagpur,Nagpur,Onion,Demo,FAQ,2025-08-31,1765.73,1987.57,1901.19,152.7
Maharashtra,Nashik,Nashik,Potato,Demo,FAQ,2025-08-31,1766.55,2065.53,1909.72,154.6
Maharashtra,Pune,Pune,Potato,Demo,FAQ,2025-08-31,1695.52,2041.9,1872.59,113.6
Maharashtra,Nagpur,Nagpur,Potato,Demo,FAQ,2025-08-31,1553.44,1779.58,1652.9,113.6
Maharashtra,Nashik,Nashik,Soyabean,Demo,FAQ,2025-08-31,4552.73,4796.46,4648.16,138.4
Maharashtra,Pune,Pune,Soyabean,Demo,FAQ,2025-08-31,4834.55,5123.88,5011.3,148.9
Maharashtra,Nagpur,Nagpur,Soyabean,Demo,FAQ,2025-08-31,4279.7,4505.6,4406.65,155.6
Maharashtra,Nashik,Nashik,Wheat,Demo,FAQ,2025-08-31,2463.06,2693.32,2590.63,127.9
Maharashtra,Pune,Pune,Wheat,Demo,FAQ,2025-08-31,2708.66,2995.64,2832.37,156.5
Maharashtra,Nagpur,Nagpur,Wheat,Demo,FAQ,2025-08-31,2252.52,2526.99,2363.76,95.5
Maharashtra,Nashik,Nashik,Tomato,Demo,FAQ,2025-09-07,2343.43,2571.01,2462.18,166.8
Maharashtra,Pune,Pune,Tomato,Demo,FAQ,2025-09-07,2594.92,2788.88,2688.89,122.1
Maharashtra,Nagpur,Nagpur,Tomato,Demo,FAQ,2025-09-07,2183.74,2488.91,2342.43,118.1
Maharashtra,Nashik,Nashik,Onion,Demo,FAQ,2025-09-07,1801.39,2085.35,1959.46,108.2
Maharashtra,Pune,Pune,Onion,Demo,FAQ,2025-09-07,2113.67,2299.11,2207.65,133.0
Maharashtra,Nagpur,Nagpur,Onion,Demo,FAQ,2025-09-07,1803.31,2066.94,1930.42,136.0
Maharashtra,Nashik,Nashik,Potato,Demo,FAQ,2025-09-07,1650.66,1929.49,1794.13,117.1
Maharashtra,Pune,Pune,Potato,Demo,FAQ,2025-09-07,1959.27,2152.75,2069.67,125.1
Maharashtra,Nagpur,Nagpur,Potato,Demo,FAQ,2025-09-07,1577.38,1799.69,1678.84,93.3
Maharashtra,Nashik,Nashik,Soyabean,Demo,FAQ,2025-09-07,4377.84,4567.07,4481.24,121.1
Maharashtra,Pune,Pune,Soyabean,Demo,FAQ,2025-09-07,4734.62,4990.17,4843.98,165.8
Maharashtra,Nagpur,Nagpur,Soyabean,Demo,FAQ,2025-09-07,4324.66,4629.48,4483.05,138.0
Maharashtra,Nashik,Nashik,Wheat,Demo,FAQ,2025-09-07,2435.8,2693.9,2597.2,130.0
Maharashtra,Pune,Pune,Wheat,Demo,FAQ,2025-09-07,2651.75,2892.99,2740.75,102.2
Maharashtra,Nagpur,Nagpur,Wheat,Demo,FAQ,2025-09-07,2496.63,2722.86,2592.76,147.9
Maharashtra,Nashik,Nashik,Tomato,Demo,FAQ,2025-09-14,2371.9,2646.14,2521.53,160.9
Maharashtra,Pune,Pune,Tomato,Demo,FAQ,2025-09-14,2491.87,2745.05,2602.02,141.3
Maharashtra,Nagpur,Nagpur,Tomato,Demo,FAQ,2025-09-14,2072.59,2253.16,2161.36,102.1
Maharashtra,Nashik,Nashik,Onion,Demo,FAQ,2025-09-14,1873.31,2194.14,2044.17,143.3
Maharashtra,Pune,Pune,Onion,Demo,FAQ,2025-09-14,2091.54,2426.33,2268.46,127.9
Maharashtra,Nagpur,Nagpur,Onion,Demo,FAQ,2025-09-14,2027.4,2259.56,2152.34,142.3
Maharashtra,Nashik,Nashik,Potato,Demo,FAQ,2025-09-14,1579.58,1875.41,1749.84,154.7
Maharashtra,Pune,Pune,Potato,Demo,FAQ,2025-09-14,1695.96,1944.48,1806.56,120.6
Maharashtra,Nagpur,Nagpur,Potato,Demo,FAQ,2025-09-14,1526.88,1848.39,1692.54,162.9
Maharashtra,Nashik,Nashik,Soyabean,Demo,FAQ,2025-09-14,4477.09,4743.03,4600.3,108.3
Maharashtra,Pune,Pune,Soyabean,Demo,FAQ,2025-09-14,4861.07,5094.5,5006.05,168.1
Maharashtra,Nagpur,Nagpur,Soyabean,Demo,FAQ,2025-09-14,4501.19,4714.75,4585.35,96.9
Maharashtra,Nashik,Nashik,Wheat,Demo,FAQ,2025-09-14,2669.6,2854.39,2764.05,117.5
Maharashtra,Pune,Pune,Wheat,Demo,FAQ,2025-09-14,2574.13,2843.7,2671.19,156.7
Maharashtra,Nagpur,Nagpur,Wheat,Demo,FAQ,2025-09-14,2402.37,2656.15,2517.06,163.9
Maharashtra,Nashik,Nashik,Tomato,Demo,FAQ,2025-09-21,2289.91,2593.99,2465.76,107.9
Maharashtra,Pune,Pune,Tomato,Demo,FAQ,2025-09-21,2591.78,2808.72,2680.05,173.1
Maharashtra,Nagpur,Nagpur,Tomato,Demo,FAQ,2025-09-21,2568.31,2879.27,2742.09,124.0
Maharashtra,Nashik,Nashik,Onion,Demo,FAQ,2025-09-21,1829.89,2049.74,1936.59,113.3
Maharashtra,Pune,Pune,Onion,Demo,FAQ,2025-09-21,2168.7,2374.75,2292.59,128.2
Maharashtra,Nagpur,Nagpur,Onion,Demo,FAQ,2025-09-21,2050.73,2314.37,2220.35,179.5
Maharashtra,Nashik,Nashik,Potato,Demo,FAQ,2025-09-21,1677.3,1915.38,1768.15,158.1
Maharashtra,Pune,Pune,Potato,Demo,FAQ,2025-09-21,1883.28,2192.84,2035.98,132.5
Maharashtra,Nagpur,Nagpur,Potato,Demo,FAQ,2025-09-21,1738.76,2013.38,1910.36,157.1
Maharashtra,Nashik,Nashik,Soyabean,Demo,FAQ,2025-09-21,4441.13,4693.71,4576.62,128.2
Maharashtra,Pune,Pune,Soyabean,Demo,FAQ,2025-09-21,4583.04,4855.58,4743.86,122.9
Maharashtra,Nagpur,Nagpur,Soyabean,Demo,FAQ,2025-09-21,4595.13,4835.73,4704.22,177.4
Maharashtra,Nashik,Nashik,Wheat,Demo,FAQ,2025-09-21,2513.94,2784.0,2687.54,168.8
Maharashtra,Pune,Pune,Wheat,Demo,FAQ,2025-09-21,2664.32,2967.07,2787.83,179.5
Maharashtra,Nagpur,Nagpur,Wheat,Demo,FAQ,2025-09-21,2458.28,2782.22,2613.14,179.5
Maharashtra,Nashik,Nashik,Tomato,Demo,FAQ,2025-09-28,2373.56,2617.04,2505.45,106.0
Maharashtra,Pune,Pune,Tomato,Demo,FAQ,2025-09-28,2549.84,2813.38,2696.01,143.5
Maharashtra,Nagpur,Nagpur,Tomato,Demo,FAQ,2025-09-28,2316.46,2577.38,2471.13,114.8
Maharashtra,Nashik,Nashik,Onion,Demo,FAQ,2025-09-28,1968.65,2165.02,2072.75,182.1
Maharashtra,Pune,Pune,Onion,Demo,FAQ,2025-09-28,2481.19,2674.45,2576.52,175.5
Maharashtra,Nagpur,Nagpur,Onion,Demo,FAQ,2025-09-28,2127.6,2394.7,2295.06,132.5
Maharashtra,Nashik,Nashik,Potato,Demo,FAQ,2025-09-28,1654.58,1989.5,1812.32,134.7
Maharashtra,Pune,Pune,Potato,Demo,FAQ,2025-09-28,1974.68,2150.46,2069.07,182.1
Maharashtra,Nagpur,Nagpur,Potato,Demo,FAQ,2025-09-28,1895.4,2136.35,1988.58,156.8
Maharashtra,Nashik,Nashik,Soyabean,Demo,FAQ,2025-09-28,4343.03,4623.09,4473.66,128.1
Maharashtra,Pune,Pune,Soyabean,Demo,FAQ,2025-09-28,4623.45,4883.84,4723.43,171.1
Maharashtra,Nagpur,Nagpur,Soyabean,Demo,FAQ,2025-09-28,4575.69,4822.7,4729.59,174.4
Maharashtra,Nashik,Nashik,Wheat,Demo,FAQ,2025-09-28,2551.49,2790.44,2661.58,114.8
Maharashtra,Pune,Pune,Wheat,Demo,FAQ,2025-09-28,2758.69,3042.9,2934.26,135.8
Maharashtra,Nagpur,Nagpur,Wheat,Demo,FAQ,2025-09-28,2453.68,2671.69,2536.17,143.5
Maharashtra,Nashik,Nashik,Tomato,Demo,FAQ,2025-10-05,2475.8,2660.42,2566.39,165.9
Maharashtra,Pune,Pune,Tomato,Demo,FAQ,2025-10-05,2545.96,2862.19,2722.59,105.7
Maharashtra,Nagpur,Nagpur,Tomato,Demo,FAQ,2025-10-05,2182.37,2469.55,2342.81,136.3
Maharashtra,Nashik,Nashik,Onion,Demo,FAQ,2025-10-05,2092.53,2265.23,2174.32,178.4
Maharashtra,Pune,Pune,Onion,Demo,FAQ,2025-10-05,2148.03,2410.97,2307.71,189.7
Maharashtra,Nagpur,Nagpur,Onion,Demo,FAQ,2025-10-05,1985.08,2292.45,2125.68,182.9
